id,name,model,manufacturer,cost_in_credits,length,type,description,films
1,Lightsaber,Standard Lightsaber,Various,,1.0,Melee,A weapon with a plasma blade powered by a kyber crystal.,All Episodes
2,DL-44 Blaster Pistol,DL-44,BlasTech Industries,1500.0,0.3,Blaster,A powerful and highly modifiable blaster pistol.,"A New Hope, The Empire Strikes Back, Return of the Jedi, The Force Awakens"
3,E-11 Blaster Rifle,E-11,BlasTech Industries,1000.0,0.43,Blaster,Standard issue blaster rifle for Imperial stormtroopers.,"A New Hope, The Empire Strikes Back, Return of the Jedi"
4,Bowcaster,Wookiee Bowcaster,Various,,1.5,Projectile,A traditional Wookiee weapon that fires explosive quarrels.,"A New Hope, The Force Awakens, The Last Jedi"
5,Thermal Detonator,Model TD,Various,2000.0,0.1,Explosive,A highly destructive grenade.,"Return of the Jedi, The Force Awakens"
6,Electrostaff,Z6 Riot Control Baton,Merr-Sonn Munitions,,2.0,Melee,"A staff that delivers electric shocks, used by riot control stormtroopers.",The Force Awakens
7,DC-15A Blaster Rifle,DC-15A,BlasTech Industries,2500.0,1.26,Blaster,A heavy blaster rifle used by clone troopers.,"Attack of the Clones, Revenge of the Sith"
8,Force Pike,Force Pike,Various,,2.0,Melee,A staff weapon used by the Emperor's Royal Guard.,Return of the Jedi
9,SE-14C Blaster Pistol,SE-14C,BlasTech Industries,800.0,0.22,Blaster,A rapid-fire blaster pistol.,A New Hope
10,Westar-34 Blaster,Westar-34,BlasTech Industries,1200.0,0.23,Blaster,A pair of blaster pistols used by Jango Fett.,Attack of the Clones
11,DH-17 Blaster Pistol,DH-17,BlasTech Industries,1200.0,0.3,Blaster,A blaster pistol used by the Rebel Alliance.,"A New Hope, The Empire Strikes Back"
12,DC-17 Hand Blaster,DC-17,BlasTech Industries,1500.0,0.32,Blaster,A blaster pistol used by clone troopers.,The Clone Wars
13,A280 Blaster Rifle,A280,BlasTech Industries,2000.0,0.45,Blaster,A heavy blaster rifle used by the Rebel Alliance.,Return of the Jedi
14,RT-97C Heavy Blaster Rifle,RT-97C,BlasTech Industries,3000.0,1.2,Blaster,A heavy blaster rifle used by Imperial stormtroopers.,A New Hope
